Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1/2/2020,72.79602814,72.8566208,71.54539466,71.79988089,135480400
1/3/2020,72.08827972,72.85174557,71.86287686,72.02041626,146322800
1/6/2020,72.66270447,72.70148465,70.95399466,71.20606216,118387200
1/7/2020,72.32097626,72.92932151,72.1004181,72.67240923,108872000
1/8/2020,73.48435211,73.7873154,72.0228575,72.0228575,132079200
1/9/2020,75.04521942,75.23911297,74.21388993,74.46595006,170108400
1/10/2020,75.21486664,75.78202036,74.71073903,75.28031144,140644800
1/13/2020,76.82180786,76.84847248,75.41363482,75.53240148,121532000
1/14/2020,75.78445435,76.96965039,75.66085034,76.75878911,161954400
1/15/2020,75.45965576,76.46791827,75.02581035,75.58326712,121923600
1/16/2020,76.4048996,76.51639539,75.64143375,76.00498962,108829200
1/17/2020,77.25079346,77.25321213,76.34674835,76.65455638,137816400
1/21/2020,76.72727203,77.32107564,76.589119,76.87754064,110843200
1/22/2020,77.00115204,77.55617546,76.90662394,77.21443198,101832400
1/23/2020,77.37197876,77.45195781,76.50428776,77.05447383,104472000
1/24/2020,77.14900208,78.36570009,76.95752719,77.61920173,146537600
1/27/2020,74.88040924,75.5638888,73.893959,75.14943709,161940000
1/28/2020,76.99872589,77.17080697,75.66568743,75.76506027,162234000
1/29/2020,78.61048889,79.46121217,77.8930739,78.63715351,216229200
1/30/2020,78.49656677,78.5498886,77.25563046,77.68947591,126743200
1/31/2020,75.0161438,78.20816118,74.7204513,77.78401254,199588400
2/3/2020,74.81011963,75.98076652,73.24925218,73.75337983,173788400
2/4/2020,77.27987671,77.47135158,76.01470173,76.42188261,136616400
2/5/2020,77.91005707,78.71230342,77.30413038,78.41175875,118826800
2/6/2020,78.82135773,78.8237838,77.62162744,78.18150305,105425600
2/7/2020,77.74996948,78.56869591,77.25678964,78.31846195,117684000
2/10/2020,78.11924744,78.11924744,76.24856854,76.32873743,109348800
2/11/2020,77.64790344,78.690143,77.42925371,78.61726222,94323200
2/12/2020,79.49188995,79.4967462,78.09980748,78.09980748,113730400
2/13/2020,78.9258194,79.25379779,78.55654436,78.76061799,94747600
2/14/2020,78.94525146,79.19548538,78.43506373,78.8942275,80113600
2/18/2020,77.49969482,77.68190414,76.43315942,76.61536873,152531200
2/19/2020,78.62213135,78.85293286,77.7426686,77.7426686,93984000
2/20/2020,77.81555176,78.87236767,77.30779583,78.38161973,100566000
2/21/2020,76.05419159,77.85199672,75.43468267,77.40740169,129554000
2/24/2020,72.44158936,73.89926441,70.26722852,72.21808333,222195200
2/25/2020,69.98784637,73.49841733,69.51410635,73.1145661,230673600
2/26/2020,71.09811401,72.3687237,69.60399826,69.61128634,198054800
2/27/2020,66.45054626,69.48251314,66.31449718,68.29207996,320605600
2/28/2020,66.4116745,67.6385555,62.28402685,62.50025222,426510000
3/2/2020,72.59465027,73.23359905,67.47092308,68.57875559,341397200
3/3/2020,70.28907776,73.85552018,69.43390383,73.77535133,319475600
3/4/2020,73.54941559,73.70976072,71.2147098,72.01885988,219178400
3/5/2020,71.16369629,72.77442093,70.79684571,71.79534952,187572800
3/6/2020,70.2186203,70.65349533,68.32364613,68.51071172,226176800
3/9/2020,64.6648941,67.56080421,63.89475257,64.07696194,286744800
3/10/2020,69.32217407,69.58941601,65.44232821,67.33002237,285290000
3/11/2020,66.9145813,68.32124001,66.04726274,67.39076056,255598800
3/12/2020,60.30644608,65.59537816,60.25056957,62.17956017,418474000
3/13/2020,67.53166962,68.00541707,61.45316239,64.35394062,370732000
3/16/2020,58.84391785,62.94240957,58.30700587,58.78074955,322423600
3/17/2020,61.43128586,62.5852749,57.91828735,60.13152412,324056000
3/18/2020,59.92745209,60.73646221,57.60731849,58.25112721,300233600
3/19/2020,59.46828079,61.42642362,58.94108878,60.10236957,271857200
3/20/2020,55.69290161,61.18104684,55.39164746,60.05134655,401693200
3/23/2020,54.50975037,55.51311775,51.65270897,55.41108096,336752800
3/24/2020,59.97846603,60.17525156,56.92220713,57.42267494,287531200
3/25/2020,59.64805603,62.74075514,59.35166185,60.91866157,303602000
3/26/2020,62.78692627,62.8452309,59.85213995,59.89101217,252087200
3/27/2020,60.18741226,62.1625597,60.01977902,61.40456976,204216800
3/30/2020,61.9050293,62.07752248,60.5906914,60.91624165,167976400
3/31/2020,61.77869415,63.77084924,61.22234983,62.09695631,197002000
4/1/2020,58.5280838,60.42549024,58.0956405,59.88615017,176218400
4/2/2020,59.50471878,59.55816716,57.55386411,58.38959834,165934000
4/3/2020,58.64956284,59.69179898,58.05677433,58.98725744,129880000
4/6/2020,63.7659874,63.92146886,60.58582762,60.95510258,201820400
4/7/2020,63.0274353,66.0083854,62.92297037,65.78972822,202887200
4/8/2020,64.640625,64.95645174,63.4647676,63.83161091,168895200
4/9/2020,65.10707092,65.61240256,64.30778423,65.27956785,161834800
4/13/2020,66.38496399,66.4942926,64.58230224,65.18481071,131022800
4/14/2020,69.73760223,70.02914022,67.55108962,68.02483698,194994800
4/15/2020,69.10108948,69.56268513,68.17789817,68.60790968,131154400
4/16/2020,69.65014648,70.01699709,68.59576238,69.81777971,157125200
4/17/2020,68.70508575,69.713317,67.26198676,69.16425699,215250000
4/20/2020,67.2789917,68.43298447,67.25955929,67.52680121,130015200
4/21/2020,65.1993866,67.35674726,64.48512509,67.12108946,180991600
4/22/2020,67.07733917,67.51463866,66.129852,66.47239907,116862400
4/23/2020,66.81737518,68.44997106,66.77850297,67.02144874,124814400
4/24/2020,68.7463913,68.75611121,67.29600419,67.34459633,126161200
4/27/2020,68.79499054,69.12782522,68.01270448,68.46214844,117087600
4/28/2020,67.67985535,69.44121286,67.58754215,69.25900346,112004800
4/29/2020,69.90280914,70.37412467,68.96989801,69.17397162,137280800
4/30/2020,71.37748718,71.55484032,70.05343676,70.44457602,183064000
5/1/2020,70.2283783,72.64082948,69.44609214,69.54326903,240616800
5/4/2020,71.22200012,71.35076111,69.56025154,70.25264864,133568000
5/5/2020,72.29095459,73.12668877,71.5378211,71.68359007,147751200
5/6/2020,73.03683472,73.67092002,72.60924752,72.99553065,142333600
5/7/2020,73.79236603,74.13978421,73.36235457,73.66603686,115215200
5/8/2020,75.54875183,75.6023449,74.12610834,74.45497454,133838400
5/11/2020,76.73753357,77.23447931,74.8447298,75.05423265,145946400
5/12/2020,75.86057281,77.87760966,75.73877106,77.42450325,162301200
5/13/2020,74.94461823,76.96653181,73.86301805,76.04083402,200622400
5/14/2020,75.40503693,75.46593781,73.45377032,74.1797115,158929200
5/15/2020,74.95922089,75.00550614,73.13219488,73.16630293,166348400
5/18/2020,76.72535706,77.10050853,75.59504067,76.28931214,135178400
5/19/2020,76.28200531,77.59258593,76.25033566,76.74241207,101729600
5/20/2020,77.76555634,77.83619601,77.10538543,77.14436288,111504800
5/21/2020,77.18576813,78.16992832,76.94703403,77.62668985,102688800
5/22/2020,77.682724,77.7655483,76.82036552,76.92267483,81803200
5/26/2020,77.15653992,78.98599716,77.10050844,78.80573295,125522000
5/27/2020,77.4927063,77.63886989,76.2698194,77.01281454,112945200
5/28/2020,77.52680206,78.79110463,76.88856218,77.16626626,133560800
5/29/2020,77.45129395,78.23325906,77.09319652,77.77041392,153532400
6/1/2020,78.40378571,78.52558745,77.27346193,77.4050099,80791200
6/2/2020,78.76676178,78.79112362,77.69246936,78.13582955,87642800
6/3/2020,79.20036316,79.46345908,78.51339955,79.08830764,104491200
6/4/2020,78.5182724,79.32216088,78.14312097,79.02253337,87560400
6/5/2020,80.75455475,80.81545562,78.73995662,78.76918785,137250400
6/8/2020,81.23199463,81.26610268,79.73627349,80.45002973,95654400
6/9/2020,83.79716492,84.19180139,80.87879977,80.91046941,147712400
6/10/2020,85.95307159,86.42322464,84.30874771,84.74966952,166651600
6/11/2020,81.82640076,85.5194301,81.72409147,85.09312405,201662400
6/12/2020,82.53286743,84.72529905,81.41716661,83.9750035,200146000
6/15/2020,83.55356598,84.20886002,81.01765253,81.18087016,138808800
6/16/2020,85.76792145,86.04076363,83.97500316,85.61688846,165428800
6/17/2020,85.64855957,86.57668837,85.52675781,86.5157875,114406400
6/18/2020,85.68264771,86.10164595,85.07120064,85.60469281,96820400
6/19/2020,85.19301605,86.85926309,84.07974628,86.39154854,264476000
6/22/2020,87.42198944,87.56571462,85.54137007,85.58765533,135445200
6/23/2020,89.28799438,90.71307641,88.25024105,88.6716778,212155600
6/24/2020,87.71188354,89.83854497,87.33673204,88.91528554,192623200
6/25/2020,88.87628174,88.91525918,87.10528733,87.86776732,137522400
6/26/2020,86.14549255,88.99321759,85.99689058,88.77153755,205256800
6/29/2020,88.13088226,88.22589121,85.57304527,86.05294451,130646000
6/30/2020,88.866539,89.15399673,87.69724537,87.71673038,140223200
7/1/2020,88.69848633,89.49019788,88.64977008,88.9445283,110737200
7/2/2020,88.69848633,90.24780879,88.58399979,89.60956867,114041600
7/6/2020,91.07118225,91.54133529,90.10163751,90.13330716,118655600
7/7/2020,90.78858948,92.23315646,90.67653395,91.4511913,112424400
7/8/2020,92.90306091,92.93473056,91.68260506,91.77030618,117092000
7/9/2020,93.30258179,93.85312066,92.25021285,93.79952759,125642800
7/10/2020,93.46578979,93.52425969,92.28188034,92.89575849,90257200
7/13/2020,93.03461456,97.39755419,92.82024229,94.77637812,191649200
7/14/2020,94.57417297,94.76661435,91.4755367,92.41340406,170989200
7/15/2020,95.22460175,96.70814609,94.02119992,96.4572348,153198000
7/16/2020,94.05287933,94.91279944,93.45117836,94.09185679,110577600
7/17/2020,93.862854,94.6618731,93.38782426,94.50597074,92186800
